SR_NO,CLASSIFICATION,SYM,GEN_SR
1,Acupuncturists,A,1
2,Adult Care Facilities,A,2
3,Aerobics,A,3
4,Animal Saddle for Hire,PA,4
5,Animal Saddle Private,PA,5
6,Apartment Tenement Boarding or Roo0g House,A,6
7,Archery Range Optional Exclusion LS-14,R,7
8,Athletic Games Optional Exclusion LS-14,PG,8
9,Athletic and Sports Contest in Buildings Optional Exclusion LS-14,AD,9
10,Automatic Slot Vending and Video Machines Optional Exclusion LS-16,E,10
11,Automobile Garage Community,A,11
12,Automobile Garage Private,A,12
13,Automobile Parking Area,A,13
14,Automobile Parking Stations Open Air Charge for Parking Optional Exclusion LS-16,A,14
15,Automobile Racing Optional Exclusion LS-14,AD,15
16,Barber Shop,A,16
17,Beaches,E,17
18,Beauty Parlor,A,18
19,Bed and Breakfast Without Pool or Beach Optional Endorsement LS-33,U,19
20,Bed and Breakfast With Pool or Beach Optional Endorsement LS-33,U,20
21,Bingo Games,AD,21
22,Bleachers or Grandstand Optional Exclusion LS-14,E,22
23,Boarding Stable,A,23
24,Boats No Motor For Hire Optional Endorsement LS-29,E,24
25,Boats Canoe or Rowboat Private No Motor Optional Endorsement LS-29,E,25
26,Boats Outboard Motor Less than 25 HP Optional Endorsement LS-29,E,26
27,Boat Private Outboard Motor 25 HP or more Optional Endorsement LS-29,E,27
28,Boats Houseboats Private Optional Endorsement LS-29,E,28
29,Boats Motor or Sail Private Passenger Optional Endorsement LS-29,E,29
30,Boats Inboard Private Passenger Less than 26ft Less than 16 HP Optional Endorsement LS-29,E,30
31,Boats Inboard Private Passenger Less than 26ft 16-30 HP Optional Endorsement LS-29,E,31
32,Boats Inboard Private Passenger Less than 26ft More than 30 HP Optional Endorsement LS-29,E,32
33,Boats Inboard Private Passenger 26-40ft Less than 16 HP Optional Endorsement LS-29,E,33
34,Boats Inboard Private Passenger 26-40ft 16-30 HP Optional Endorsement LS-29,E,34
35,Boats Inboard Private Passenger 26-40ft More than 30 HP Optional Endorsement LS-29,E,35
36,Boats Inboard Private Passenger over 40ft Less than 16 HP Optional Endorsement LS-29,E,36
37,Boats Inboard Private Passenger over 40ft 16-30 HP Optional Endorsement LS-29,E,37
38,Boats Inboard Private Passenger over 40ft More than 30 HP Optional Endorsement LS-29,E,38
39,Boats Inboard Not Exceeding 10 HP Optional Endorsement LS-29,E,39
40,Boats Sailboat No Motor Private Less than 26ft Optional Endorsement LS-29,E,40
41,Boats Sailboat No Motor 26-40 ft Optional Endorsement LS-29,E,41
42,Boats Sailboats No Motor Over 40 ft Optional Endorsement LS-29,E,42
43,Boat Sales,A,43
44,Boat-Wharf Dock Float,E,44
45,Bowling Alleys Food or Beverage Sales Should be Separately Rated,A,45
46,Building Manufacturing or Warehousing Lessors Risk Only,A,46
47,Building or Premises NOC Lessors Risk Only,A,47
48,Building or Premises Occupied by More Than One Interest Manufacturing or Warehouse Lessors Risk Only,A,48
49,Building or Premises NOC A 120910 manual rates,A,49
50,Camps Optional Exclusion LS-28,CD,50
51,Car Wash,A,51
52,Catalogue Sales,A,52
53,Cemeteries,AC,53
54,Christmas Decoration Street,FL,54
55,Christmas Tree Lot,E,55
56,Churches 0uding Completed Operations and Products Attach Endorsement LS-43,A,56
57,Churches,A,57
58,Clam Bakes Steak Roasts etc,FL,58
59,Cleaning and Dyeing Receiving Stations 0uding Completed Operations and Products Optional Exclusion LS-15 Attach Endorsement LS-43,A,59
60,Cleaning and Dyeing Receiving Stations,A,60
61,Clock Makers 0uding Repairs,A,61
62,Clubs Civic No Building or Premises Owned or Leased 0uding Products Attach Endorsement LS-43 Optional Exclusion LS-23,PP,62
63,Clubs Civic No Building or Premises Owned or Leased Optional Exclusion LS-23,PP,63
64,Clubs Country Food or Beverage Sales Separately Rated Optional Endorsement LS-32 Optional Endorsement LS-23,A,64
65,Clubs 0uding Lodges NOC Food or Beverage Sales Separately Rated Optional Endorsement LS-32 Optional Endorsement LS-23,A,65
66,Clubs NOC Grounds in Excess of 5 Acres,AC,66
67,Coin or Stamp Dealers,A,67
68,Computer Program0g and Design,A,68
69,Computer Sales Service and Repair,A,69
70,Concessionaires,A,70
71,Condo0iums,A,71
72,Convalescent or Nursing Home,A,72
73,Cosmetic Hair or Skin Preparation,A,73
74,Dance Studios,A,74
75,Day Nurseries,A,75
76,Dentist or Physicians Office,A,76
77,Display Booths,E,77
78,Dog Kennels,PK,78
79,Drafting,A,79
80,Drive-in Theatres,R,80
81,Dwelling 1 Family Initial,E,81
82,Dwelling 1 Family with Incidental Office,E,82
83,Dwelling 2 Family Initial,E,83
84,Dwelling 2 Family with Incidental Office,E,84
85,Dwelling 3 Family,E,85
86,Dwelling 4 Family,E,86
87,Elect Data Processing Center,A,87
88,Exhibitions Optional Exclusion LS-14,PD,88
89,Exercise or Health Club,A,89
90,Fairgrounds Optional Exclusion LS-14,E,90
91,Fairs Optional Exclusion LS-14,FL,91
92,Fairs Outside Optional Exclusion LS-14 Optional Exclusion LS-36,FL,92
93,Farm Residence 0uding Acreage 160 Acres or Less,E,93
94,Farm Residence Over 160 Acres But Not More than 500 Acres,E,94
95,Farm Residence More than 500 Acres,E,95
96,Farm Grazing Away From Insureds Premises First 100 Animals 0uding Completed Operations Attach Endorsement LS-43 Optional Exclusion LS-35,PA,96
97,Farm Grazing Away From Insureds Premises Next 400 Animals 0uding Completed Operations Attach Endorsement LS-43 Optional Exclusion LS-35,PA,97
98,Farm Grazing Away From Insureds Premises Over 500 Animals 0uding Completed Operations Attach Endorsement LS-43 Optional Exclusion LS-35,PA,98
99,Fire Houses,A,99
100,Fishing-Ponds or Lakes With Boat Rentals,E,100
101,Fishing-Ponds or Lakes No Boat Rentals,E,101
102,Fund Raising Organization,A,102
103,Gasoline Pumps No Sales,E,103
104,Golf Instructors,PP,104
105,Gravel Pit,E,105
106,Greenhouses,A,106
107,Halls Dance Food or Beverage Sales Separately Rated,A,107
108,Halls NOC Food or Beverage Sales Separately Rated,A,108
109,Hay Rides,FL,109
110,Homes for Aged,A,110
111,Hot Tubs and Spas,E,111
112,Hotels Lessors Risk Only Optional Endorsement LS-33,A,112
113,Human Service Organization,A,113
114,Hunting For a Charge,PP,114
115,Insurance Agents 0uding Products Attach Endorsement LS-43,A,115
116,Insurance Agents,A,116
117,Insurance Company 0uding Products Attach Endorsement LS-43,A,117
118,Insurance Company,A,118
119,Karate School,A,119
120,Kennels,PK,120
121,Land Not occupied by Insured for Commercial Purposes Lessors Risk Only,F,121
122,Laundries coin washing machines and dryers 0udes completed operations and products Attach Endorsement LS-43,A,122
123,Laundries coin washing machines and dryers,A,123
124,Laundries Hand-NOC 0udes Completed Operations and Products Attach Endorsement LS-43,A,124
125,Laundries Hand-NOC,A,125
126,Libraries,A,126
127,Locksmiths,A,127
128,Manufacturers Representatives,A,128
129,Model Homes,E,129
130,Motel without Pool or Beach Optional Endorsement LS-33,U,130
131,Motel with Pool or Beach Optional Endorsement LS-33,U,131
132,Motel without Pool or Beach-Seasonal Optional Endorsement LS-33,U,132
133,Motel with Pool or Beach-Seasonal Optional Endorsement LS-33,U,133
134,Museum,A,134
135,News Stands,E,135
136,Office 0uding Products Attach Endorsement LS-43,A,136
137,Office Medical,A,137
138,Office,A,138
139,Optometrists Office,A,139
140,Orchards,E,140
141,Parades,E,141
142,Parks and Playgrounds,E,142
143,Pavilion or Open Bldg,A,143
144,Picnic Grounds,E,144
145,Push Carts,E,145
146,Race Track Optional Exclusion LS-14,AD,146
147,Real Estate Development Property,E,147
148,Recreation Center Optional Exclusion LS-14,A,148
149,Recycling Center,A,149
150,Refreshment Stands Optional Exclusion LS-16,A,150
151,Restaurants Optional Exclusion LS-16,A,151
152,Restaurant Closed Season Optional Exclusion LS-16,A,152
153,Restaurant and Tavern Parking,A,153
154,Road Side Stand,E,154
155,Self Storage Center Open to Public,A,155
156,Shoe Repair,A,156
157,Shooting Range,E,157
158,Shopping Centers Lessors Risk Only,A,158
159,Sign Advertising,E,159
160,Sleigh Rides,FL,160
161,Social Gathering 0uding Completed Operations Not on Insureds Premises Attach Endorsement LS-43,E,161
162,Special Event 1-3 days,FL,162
163,Special Event 4-7 days,FL,163
164,Special Event More than 7 days,FL,164
165,Storage Building Not Open to Public,A,165
166,Student Housing,PP,166
167,Antique Stores,A,167
168,Art Galleries,A,168
169,Auctions,A,169
170,Bakery Optional Exclusion LS-16,A,170
171,Carpet,A,171
172,Cigar,A,172
173,Clothing Retail,A,173
174,Clothing Wholesale,A,174
175,Confectionery No Consumption on Premises,A,175
176,Confectionery Consumption on Premises Optional Exclusion LS-16,A,176
177,Dairy Products No Consumption on Premises,A,177
178,Dairy Products Consumption on Premises Optional Exclusion LS-16,A,178
179,Delicatessen Optional Exclusion LS-16,A,179
180,Drug Retail NOC Optional Exclusion LS-16,A,180
181,Drug Wholesale Optional Exclusion LS-16,A,181
182,Five and Ten Cent,A,182
183,Florist,A,183
184,Fruit and Vegetables,A,184
185,Furniture,A,185
186,General,A,186
187,Grocery Retail NOC,A,187
188,Grocery Retail Over 1500 sq ft and over 250000 in Sales,A,188
189,Grocery Wholesale,A,189
190,Hardware Retail,A,190
191,Hardware Wholesale,A,191
192,Hearing Aid Service Optional Exclusion LS-16,A,192
193,Household Appliance Retail,A,193
194,Household Appliance Wholesale,A,194
195,Ice Cream Consumption on Premises Optional Exclusion LS-16,A,195
196,Jewelry,A,196
197,Leather Products,A,197
198,Liquor and Wine,A,198
199,Market Open Air,A,199
200,Mail Order Houses,A,200
201,Meat Fish and Poultry Retail,A,201
202,Meat Fish and Poultry Wholesale,A,202
203,Optical Establishments Optional Exclusion LS-16,A,203
204,Pet,A,204
205,Photography,A,205
206,Plumbing,A,206
207,Retail NOC,A,207
208,Shoe,A,208
209,Sporting Goods Retail Excludes Products Optional Exclusion LS-16,A,209
210,Tailor Shop,A,210
211,Wholesale NOC,A,211
212,Street Banners,FL,212
213,Swim0g Pools,E,213
214,Tavern Optional Exclusion LS-16,A,214
215,Tennis Handball Shuffleboard Courts Optional Exclusion LS-14,R,215
216,Theatres 0uding Completed Operations and Products Attach Endorsement LS-43,AD,216
217,Theatres Not Operated by the Insured Lessors Risk Only 0udes Completed Operations and Products Attach Endorsement LS-43,A,217
218,Theatres Not Operated by the Insured Lessors,A,218
219,Theatrical Performances,PD,219
220,Ticket Sales,A,220
221,Vacant Building,A,221
222,Vacant Land,F,222
223,Vacant Land Real Estate Development First 10 Acres,AC,223
224,Vacant Land Real Estate Development Next 15 Acres,AC,224
225,Vacant Land Real Estate Development All over 25 Acres,AC,225
226,Vending Machines Optional Exclusion LS-16,E,226
227,Warehouse Open to Public,A,227
228,Warehouse Not Open to Public,A,228
229,Word Processing Service,A,229
230,Vacant Land less than 1 acre,FL,230
231,Vacant Land 1-10 acres,FL,231
232,Vacant Land 10-20 acres,FL,232
233,Vacant Land over 20 acres,FL,233
233,Vacant Land over 20 acres,FL,233
235,Advertising Co Outdoors,P,2
236,Air Conditioning Heating Refrigeration Installation Service or Repair,P,3
237,Airports Private,E,4
238,Alarm Mfg,P,5
239,Alcoholic Beverage Mfg,P,6
240,Aluminum Mfg,P,7
241,Amusement Parks outdoor,P,8
242,Analytical Chemist,P,9
243,Animal Breeding,P,10
244,Apparel Mfg,P,11
245,Appliance Stores,P,12
246,Arcades,R,13
247,Architects and Engineers Consulting Not Engaged in Actual Construction,P,14
248,Armored Car Service,P,15
249,Awning Tent or Canvas,P,16
250,Assembling and Incidental Manufacturing NOC,P,17
251,Auctioneers,P,18
252,Auto Garage Repair Shop,P,19
253,Auto Sales Agencies,P,20
254,Band Orchestra,P,21
255,Bazaars Operated by Insured,R,22
256,Beer Ale or Malt Mfg,P,23
257,Beverage Distributor,P,24
258,Bicycle Mfg Assembly,P,25
259,Bicycle Rented to Others,R,26
260,Biological Products Mfg,P,27
261,Blacksmithing,P,28
262,Blast Furnace Operations,P,29
263,Boarding Stables,P,30
264,Boat Building,R,31
265,Boat Storage,R,32
266,Boat Yards,R,33
267,Boiler Installation or Repair,P,34
268,Bookbinding,P,35
269,Bottling,P,36
270,Brick or Clay Prod Mfg,P,37
271,Building Equipment Installation Erection or Repair,P,38
272,Building Material Dealers,P,39
273,Building surfaces cleaning or Renovating,P,40
274,Butchering,P,41
275,Cabinet Makers,P,42
276,Cable Installation,P,43
277,Camper and Camper Body Mfg,P,44
278,Canneries,P,45
279,Car Washes,P,46
280,Car Washes Self Service,R,47
281,Carpentry NOC,P,48
282,Carpet Cleaner Customers Premises,P,49
283,Carpet Linoleum Installation,P,50
284,Carpet Or Rug Mfg,P,51
285,Caterers,P,52
286,Caves,E,53
287,Cement Cinderblock or Brick Mfg,P,54
288,Ceramics Mfg,P,55
289,Chemical Mfg,P,56
290,Chimney Cleaning,P,57
291,Chimney Construction or Repair,P,58
292,Cloth Printing,P,59
293,Clothing Mfg,P,60
294,Coal Fuel Oil or Wood Dealers,P,61
295,Cofferdam Work,P,62
296,Communication Equipment Installation,P,63
297,Computer Mfg and Assembly,P,64
298,Concrete Construction,P,65
299,Concrete Prod Mfg,P,66
300,Contact Lens Mfg,P,67
